FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
VA0012,CAMPBELL COUNTY PUBLIC LIBRARY,684 VILLAGE HIGHWAY LOWER LEVEL,RUSTBURG,24588,Rural,"55,648","120,004","809,282","3,592","6,032"
VA0013,CAROLINE COUNTY LIBRARY,17202 RICHMOND TURNPIKE,MILFORD,22514,Rural,"30,342","40,649","31,370","1,628","2,413"
VA0014,CENTRAL RAPPAHANNOCK REGIONAL LIBRARY,"125 OLDE GREENWICH DRIVE, SUITE 160",FREDERICKSBURG,22408,Suburban,"337,991","1,273,740","247,963","73,557","91,989"
VA0015,ALLEGHANY HIGHLANDS REGIONAL LIBRARY,406 W. RIVERSIDE STREET,COVINGTON,24426,Town,"20,680","51,048","903,656","1,597","3,109"
VA0016,CHARLOTTE COUNTY LIBRARY,112-116 LEGRANDE AVENUE,CHARLOTTE COURT HOUS,23923,Rural,"11,936","45,387","22,826",791,"2,611"
VA0017,CHESAPEAKE PUBLIC LIBRARY,298 CEDAR ROAD,CHESAPEAKE,23322,Suburban,"247,564","255,150","44,766","19,496","46,958"
VA0018,CHESTERFIELD COUNTY PUBLIC LIBRARY,9501 LORI ROAD,CHESTERFIELD,23832,Suburban,"355,079","423,074","50,409","32,397","49,241"
VA0019,CLIFTON FORGE PUBLIC LIBRARY,535 CHURCH STREET,CLIFTON FORGE,24422,Town,"3,444","44,908","19,151","1,812","3,575"
VA0020,COLONIAL HEIGHTS PUBLIC LIBRARY,1000 YACHT BASIN DRIVE,COLONIAL HEIGHTS,23834,Suburban,"17,246","36,906","2,207,478","1,996","6,367"
VA0021,CULPEPER COUNTY LIBRARY,271 SOUTHGATE SHOPPING CENTER,CULPEPER,22701,Town,"52,494","56,107","249,086","4,740","7,307"
VA0022,CUMBERLAND COUNTY PUBLIC LIBRARY,1539 ANDERSON HIGHWAY,CUMBERLAND,23040,Rural,"9,920","17,729","2,513",608,"1,831"
VA0023,DANVILLE PUBLIC LIBRARY,511 PATTON STREET,DANVILLE,24541,Town,"40,071","51,684","884,459","1,707","6,335"
VA0024,EASTERN SHORE PUBLIC LIBRARY,24313 BENNETT STREET,PARKSLEY,23421,Rural,"44,592","113,336","263,818","3,137","7,355"
VA0025,ESSEX PUBLIC LIBRARY,117 N. CHURCH LANE,TAPPAHANNOCK,22560,Town,"10,849","25,759","20,761","1,756","2,329"
VA0026,FAIRFAX COUNTY PUBLIC LIBRARY,12000 GOVERNMENT CENTER PARKWAY SUI,FAIRFAX,22035,Suburban,"1,170,100","1,664,069","215,332","86,106","48,798"
VA0028,FAUQUIER COUNTY PUBLIC LIBRARY,11 WINCHESTER STREET,WARRENTON,20186,Suburban,"70,996","161,988","22,479","11,670","9,768"
