TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SOLC.US,20260323,18.09,18.09,17.79,17.9717,4471
SOLS.US,20260323,69.41,72.02,69,70.95,2571788
SONM.US,20260323,3.67,3.67,2.86,2.9,24735
SONO.US,20260323,13.62,13.82,13.46,13.59,1068860
SOPA.US,20260323,0.58,0.64,0.5682,0.5958,535824
SOPH.US,20260323,4.92,5.35,4.91,5.19,296607
SORA.US,20260323,1.8376,1.85,1.83,1.85,3283
SORNW.US,20260323,0.3324,0.3327,0.298,0.33,11775
SOTK.US,20260323,3.97,4.3492,3.9,4.1,18527
SOUN.US,20260323,6.725,6.94,6.61,6.89,23322580
SOUNW.US,20260323,2.2,2.32,2.2,2.3099,7662
SOWG.US,20260323,0.4714,0.5198,0.4541,0.4964,136546
SPAI.US,20260323,4.39,4.64,4.2,4.52,195030
SPCB.US,20260323,8.46,8.5,8.25,8.42,27982
SPCT.US,20260323,26.21,26.2499,26.065,26.065,445117
SPEG.US,20260323,10.16,10.16,10.16,10.16,2482
SPFI.US,20260323,41.62,42.585,41.23,41.62,111860
SPHL.US,20260323,2.475,2.6881,2.4505,2.6,14492
SPIT.US,20260323,26.96,27.05,26.6811,26.6811,3034
SPKL.US,20260323,11.3,11.3,11.3,11.3,2061
SPOG.US,20260323,7.65,7.96,7.62,7.9178,56972
SPOK.US,20260323,11.17,11.41,11.01,11.35,145629
SPRB.US,20260323,61.22,62.02,55.8901,58.83,29489
SPRC.US,20260323,4.4,4.66,4.4,4.52,8013
SPRO.US,20260323,2.37,2.4091,2.33,2.35,176547
SPRY.US,20260323,8.37,8.4793,7.595,7.67,1767524
SPSC.US,20260323,58.21,59.73,58,58.41,771353
SPT.US,20260323,5.86,6.015,5.61,5.9,1679876
SPWH.US,20260323,1.37,1.4,1.33,1.39,210214
SPWR.US,20260323,1.17,1.259,1.17,1.21,862215
SPWRW.US,20260323,0.261299,0.2725,0.261299,0.2725,950
SQFT.US,20260323,2.28,2.34,2.26,2.34,2995
SQFTP.US,20260323,6.22,6.3,6.16,6.3,2212
SQFTW.US,20260323,0.0194,0.0194,0.0194,0.0194,113
SQS.US,20260323,24.92,24.92,24.7976,24.7976,1958
SRAD.US,20260323,19.65,20.07,19.36,19.53,2166016
SRBK.US,20260323,16.84,17.155,16.74,17.02,38963
SRCE.US,20260323,67.47,69.12,66.8,68.1,234584
SRPT.US,20260323,16.93,17.8,16.67,17.71,2942742
SRRK.US,20260323,44.73,45.92,43.46,43.66,1634906
SRTA.US,20260323,4.18,4.3767,4.12,4.33,616476
SRTAW.US,20260323,0.0087,0.0108,0.0086,0.0107,19275
SRTS.US,20260323,3.95,4.2599,3.81,4.11,107111
SRZN.US,20260323,25.56,26.06,24.5,25.24,72121
SSAC.US,20260323,9.89,9.89,9.89,9.89,9613
SSACR.US,20260323,0.18,0.18,0.18,0.18,2400
SSACU.US,20260323,10.07,10.07,10.03,10.03,205
SSBI.US,20260323,13.25,13.25,13,13.04,17315
SSEAR.US,20260323,0.2001,0.21,0.2001,0.21,653
SSII.US,20260323,4.95,5,4.8,4.9,30326
SSM.US,20260323,6.2,6.55,6.01,6.29,2802
SSNC.US,20260323,72.01,72.48,71.09,71.27,3164830
SSP.US,20260323,3.45,3.885,3.45,3.77,965223
SSRM.US,20260323,23.39,24.93,23.295,24.27,4558333
SSSS.US,20260323,9.65,9.901,9.5001,9.87,196490
SSTI.US,20260323,6.64,6.76,6.46,6.67,92996
SSYS.US,20260323,7.84,7.955,7.67,7.81,637612
STAA.US,20260323,17,18.77,16.83,18.51,2550799
STAK.US,20260323,0.98,1.02,0.85,1.02,723993
STBA.US,20260323,40.75,41.79,40.34,40.95,382941
STEP.US,20260323,48.09,48.51,46.32,47.64,819102
STEX.US,20260323,1.6,1.62,1.46,1.54,3115936
STFS.US,20260323,4.04,4.15,3.66,4.06,11056
STGW.US,20260323,6.2,6.335,6.12,6.22,1371012
STHO.US,20260323,7.83,8.04,7.77,7.97,16282
STI.US,20260323,5.44,5.64,5.33,5.48,38709
STIM.US,20260323,1.46,1.65,1.44,1.6,3014256
STKE.US,20260323,1.25,1.29,1.14,1.2,434265
STKH.US,20260323,1.21,1.34,1.2,1.33,22205
STKL.US,20260323,6.48,6.5,6.47,6.48,1271721
STKS.US,20260323,1.9703,1.9703,1.83,1.86,26869
STLD.US,20260323,167.5,170.91,166.115,166.64,1890276
STNE.US,20260323,13.65,14.21,13.48,14.06,3609256
STOK.US,20260323,33.61,35.29,33.37,33.4,441274
STRA.US,20260323,81.62,84.33,81.52,83.86,281667
STRC.US,20260323,99.71,99.95,99.71,99.86,1818078
STRD.US,20260323,74.2,74.25,72.25,72.8,80006
STRF.US,20260323,97.49,97.96,96.175,96.2,132714
STRK.US,20260323,76.035,76.25,73.45,73.63,184718
STRL.US,20260323,413,435,412.94,422.55,376362
STRO.US,20260323,21.53,21.76,19.11,21.33,301220
STRR.US,20260323,9.29,9.69,9.1,9.69,8698
STRRP.US,20260323,10.07,10.07,10.07,10.07,1008
STRS.US,20260323,29.01,30.055,28.975,29.835,15542
STRT.US,20260323,74.98,78.06,74.25,76.4,66026
STRZ.US,20260323,12.21,12.93,12.125,12.84,127914
STSS.US,20260323,1.78,1.83,1.715,1.83,507065
STSSW.US,20260323,0.0457,0.0545,0.0454,0.0454,72039
STTK.US,20260323,6.19,6.23,5.75,6.12,1074032
STX.US,20260323,420,425.18,395.1866,404.02,3864801
SUGP.US,20260323,4.93,5.268,4.93,5.268,3578
SUIG.US,20260323,1.35,1.41,1.34,1.36,252970
SUIS.US,20260323,24.769,24.769,24.752,24.752,390
SUMAU.US,20260323,10.04,10.04,9.98,9.98,2289
SUNE.US,20260323,2.3,2.89,2.23,2.8,4519286
SUNS.US,20260323,8.34,8.56,8.2705,8.36,67380
SUPN.US,20260323,48.86,49.36,47.75,49.25,831311
SUPX.US,20260323,8.02,10.315,8.02,9.44,417423
SURG.US,20260323,0.8232,0.921,0.814,0.8844,111741
SUUN.US,20260323,0.605,0.6687,0.6,0.641,503914
SVAC.US,20260323,10.19,10.19,10.17,10.17,68871
SVACW.US,20260323,0.99,1.115,0.99,1.06,99292
SVAQ.US,20260323,9.88,9.88,9.88,9.88,467
SVAQW.US,20260323,0.3,0.3175,0.3,0.3175,475
SVC.US,20260323,1.84,1.9,1.8,1.85,2009000
SVCC.US,20260323,10.48,10.48,10.45,10.45,1200
SVCCU.US,20260323,10.55,10.55,10.55,10.55,230
SVCCW.US,20260323,0.2749,0.2749,0.2749,0.2749,1200
SVCO.US,20260323,6.33,7.25,6.24,7.24,747108
SVIV.US,20260323,9.9,9.9,9.9,9.9,4798
SVIVW.US,20260323,0.74,0.74,0.74,0.74,2882
SVRA.US,20260323,5.12,5.19,4.938,5.08,1979689
SVRE.US,20260323,3,3.19,3,3.19,28049
SVRN.US,20260323,0.222,0.2315,0.2011,0.2282,2409974
SWAG.US,20260323,1.72,1.725,1.67,1.7,53753
SWBI.US,20260323,14.17,14.52,14.08,14.42,718325
SWIM.US,20260323,5.79,5.94,5.68,5.78,977711
SWKH.US,20260323,16.51,16.8,16.4608,16.8,8204
SWKHL.US,20260323,25.23,25.33,25.21,25.25,4854
SWKS.US,20260323,55.32,55.54,54.195,54.49,3125608
SWMR.US,20260323,34.7,35.19,25.75,26.36,4931368
SWVL.US,20260323,1.45,1.536,1.45,1.49,19814
SXTC.US,20260323,1.42,1.49,1.3856,1.47,19751
SXTP.US,20260323,1.91,1.94,1.8006,1.83,174016
SY.US,20260323,2.9,3.04,2.9,2.91,644817
SYBT.US,20260323,64.72,65.85,63.895,64.46,256872
SYM.US,20260323,51.005,53.97,51,52.6,1584278
SYNA.US,20260323,73.59,75.68,72.52,72.91,611232
SYPR.US,20260323,3.07,3.38,3.05,3.19,79516
SYRE.US,20260323,42.02,44.08,41.73,42.76,779447
SYZ.US,20260323,26.21,26.34,26.1082,26.1082,1244
SZZL.US,20260323,10.28,10.28,10.24,10.26,24571
SZZLR.US,20260323,0.183,0.183,0.15,0.1798,40000
TACH.US,20260323,10.305,10.305,10.28,10.2801,4327
TACHW.US,20260323,0.3051,0.3051,0.3,0.3,22165
TACO.US,20260323,10.2,10.2,10.2,10.2,22872
TACOU.US,20260323,10.34,10.35,10.34,10.35,555
TACOW.US,20260323,0.32,0.3201,0.32,0.3201,797
TACT.US,20260323,3.21,3.45,3.13,3.36,64850
TALK.US,20260323,5.145,5.15,5.14,5.14,8557850
TALKW.US,20260323,0.003,0.0043,0.003,0.0043,20730
TANH.US,20260323,0.841,0.88,0.726,0.7552,304480
TAOP.US,20260323,1.5,1.5,1.3412,1.41,22807
TAOX.US,20260323,5.95,6.25,5.69,5.91,226529
TARA.US,20260323,5.28,5.3986,5.09,5.16,858993
TARS.US,20260323,66.07,67.31,63.54,64.13,808345
TASK.US,20260323,10.57,11,10.385,11,582690
TATT.US,20260323,44.73,46.72,43.8,46,314543
TAVI.US,20260323,10.54,10.5401,10.53,10.5401,4785
TAVIR.US,20260323,0.15005,0.15005,0.15005,0.15005,450
TAYD.US,20260323,70.48,74.675,70.055,73.77,34711
TBBK.US,20260323,54.4,55.74,53.69,53.74,613338
TBCH.US,20260323,11.67,11.75,11.4,11.62,345467
TBH.US,20260323,0.2577,0.2577,0.2349,0.255,204030
TBHC.US,20260323,0.9223,0.9749,0.9223,0.9561,42376
TBLA.US,20260323,3.13,3.18,3.11,3.15,1330567
TBLD.US,20260323,21.13,21.53,20.9,21.09,51339
TBMC.US,20260323,10.25,10.7,10.25,10.6,11236
TBMCR.US,20260323,0.44,0.47,0.38,0.4,10345
TBPH.US,20260323,14.73,14.9315,14.52,14.75,888714
TBRG.US,20260323,15.55,15.9,15.32,15.38,102435
TC.US,20260323,10.43,10.52,10.1,10.4299,2059
TCBI.US,20260323,94.34,96.05,93.44,93.97,544052
TCBIO.US,20260323,21.8,22.21,21.7601,21.88,16627
TCBK.US,20260323,47.3,47.89,46.39,47.14,188891
TCBS.US,20260323,18.6787,18.6787,17.51,18.24,3244
TCBX.US,20260323,37.445,38.5,37.445,37.86,82964
TCMD.US,20260323,26.86,26.9899,26.21,26.51,250551
TCOM.US,20260323,50.78,51.9651,50.7,51.32,2926725
TCPC.US,20260323,3.56,3.72,3.465,3.7,1501701
TCRT.US,20260323,3.22,3.25,3.155,3.2,3202
TCRX.US,20260323,1.07,1.07,1.01,1.04,546116
TCX.US,20260323,16.33,16.765,15.83,16.2,48618
TDAC.US,20260323,10.56,10.57,10.56,10.57,12586
TDI.US,20260323,40.14,40.93,40.14,40.6573,19973
TDIC.US,20260323,0.1744,0.1744,0.145,0.1553,191296
TDOG.US,20260323,18.8915,19.1366,18.8915,19.1366,7672
TDOT.US,20260323,17.945,17.945,17.1434,17.1434,3384
TDTH.US,20260323,0.202,0.228,0.202,0.2152,235332
TDUP.US,20260323,3.45,3.645,3.446,3.47,2218508
TDWDR.US,20260323,0.163,0.163,0.15655,0.1566,16101
TEAD.US,20260323,0.632,0.6482,0.6143,0.6243,501500
TEAM.US,20260323,73.23,75.45,72,74.41,4236594
TECH.US,20260323,52.71,53.53,51.63,52,1628639
TECX.US,20260323,30.42,30.73,29.31,29.44,195904
TELA.US,20260323,0.794,0.899,0.79,0.8299,133558
TELO.US,20260323,1.3,1.3,1.23,1.28,104556
TEM.US,20260323,47.9,49.98,47.6,49.14,4779357
TENB.US,20260323,20.26,20.58,19.88,20.27,1617349
TENX.US,20260323,14.45,14.8979,13.79,14.27,225668
TER.US,20260323,301.01,314.49,300.01,303.92,4243465
TERG.US,20260323,40.3,43.5399,38.05,40.736,50530
TERN.US,20260323,48.52,50.89,47.6175,49.61,3606343
TEXX.US,20260323,28.1399,28.1399,28.0546,28.0546,382
TFIN_.US,20260323,22,22.23,22,22.12,5156
TFSL.US,20260323,13.61,13.789,13.49,13.57,670449
TGHL.US,20260323,0.3363,0.3363,0.313,0.327,10542
TGL.US,20260323,3.71,3.9,3.7,3.9,16964
TGTX.US,20260323,30.23,30.815,29.91,30.45,1965154
TH.US,20260323,9.12,9.419,9.04,9.25,525950
THCH.US,20260323,2.1,2.19,2.1,2.1,4746
THFF.US,20260323,61.99,63.82,61.18,62.61,132432
THH.US,20260323,0.3982,0.43,0.3951,0.405,164958
THRM.US,20260323,28.4,29.28,28.215,28.64,373171
THRV.US,20260323,24.3901,24.425,24.3901,24.4249,1054
THRY.US,20260323,2.81,3.02,2.75,2.97,679414
THYM.US,20260323,50.2,50.2,50.1649,50.1649,296
TIGO.US,20260323,71.98,75.17,71.59,74.55,1241885
TIGR.US,20260323,6.57,6.855,6.55,6.83,3830594
TIL.US,20260323,8.55,8.55,8.075,8.42,14704
TILE.US,20260323,25.035,26.18,25.035,25.69,1208367
TIPT.US,20260323,16.11,16.41,15.81,16.26,296879
TITN.US,20260323,15.46,16.16,14.77,15.49,343853
TIVC.US,20260323,0.900051,1,0.865,0.9899,39039
TJGC.US,20260323,0.501,0.501,0.4867,0.499,49644
TKLF.US,20260323,2.31,2.41,2.31,2.41,2340
TKNO.US,20260323,2.82,3.1,2.82,2.92,109851
TLF.US,20260323,2.32,2.39,2.29,2.34,18015
TLG.US,20260323,24.36,24.39,24.1285,24.1285,700
TLIH.US,20260323,0.2464,0.255,0.245,0.2465,35706
TLN.US,20260323,308.01,320.14,306.53,311.02,943493
TLNC.US,20260323,10.15,10.16,10.15,10.15,504621
TLNCU.US,20260323,10.3,10.3,10.3,10.3,101
TLNCW.US,20260323,0.3318,0.3318,0.3318,0.3318,100
TLPH.US,20260323,0.85,0.85,0.754,0.8012,277503
TLRY.US,20260323,6.25,6.5,6.12,6.45,2591126
TLS.US,20260323,4.34,4.52,4.23,4.39,1037336
